 NF , LCD , NucleusArea , CellArea , percentProtrusion , protrusion_extent ,NucIntegratedH,logNucbyRing488 (Yap)
0.983696,41.0509,565,2585,0,0,48968.776,-0.124659
0.654255,9.64041,427,2750,8,0.308108,100767.303,0.183384
1,37.2995,409,2767,0,0,104621.791,0.0903341
0.875,36.0101,381,2418,6.78246,0.187817,90423.873,0.11957
0.843137,22.0848,463,2562,3.55191,0.213542,100471.926,0.345252
0.598361,11.7467,512,3310,6.10272,0.274262,164033.536,0.0330269
0.674797,29.6824,446,2842,11.9634,0.338384,96389.074,0.0343938
0.929577,50.1002,540,2067,2.66086,0.0940594,118935,-0.0244723
0.488479,20.284,441,2645,0,0.0511628,84303.765,0.189886
0.512111,28.9017,559,3285,21.5221,0.0926829,58424.444,-0.0195608
0.721254,15.4178,1145,5234,6.82079,0.272388,276471.7,-0.104372
0.913242,46.5333,588,2764,12.8799,0.155914,136100.832,-0.0304141
0.940625,33.7154,649,3760,16.7819,0.186667,235293.652,-0.102825
0.917582,34.4828,474,2155,3.99072,0.197674,102534.258,0.169593
0.834951,28.5063,580,2636,8.83915,0.162304,181792.88,-0.0848144
0.789189,31.8674,439,2554,9.98434,0.269231,106953.131,0.0140006
0.961686,36.3504,534,3666,0,0,135958.002,-0.0233602
0.890476,30.6091,497,2702,0,0.0558376,173245.751,0.212242
1,40.016,564,3040,0,0,92536.608,0.165339
1,44.405,582,3085,3.14425,0.0901288,77180.766,0.117808
0.99278,35.8423,579,4382,9.17389,0.184211,204096.342,-0.0459464
1,39.3701,487,2276,0,0,209122.183,0.0751848
1,30.9885,689,2981,0,0,109996.094,0.0325662
1,41.2712,465,2206,0,0,105994.425,0.121676
1,39.984,549,2272,0,0,128640.033,-0.133628
1,35.1741,507,3151,1.71374,0.0967742,215868.432,0.144753
1,34.4947,527,2429,0,0,129546.086,-0.0382344
0.766667,19.2419,616,4428,11.224,0.378855,107844.352,0.0941637
1,48.8281,495,2247,0,0,188207.415,0.00977651
1,56.0224,533,2351,0,0,146314.363,-0.13342
0.948837,32.8407,486,2778,2.59179,0.132353,217262.412,0.115264
0.862222,42.2119,408,2996,5.54072,0.1133,83331.552,0.0882579
0.977401,27.5862,482,2157,0,0,155596.348,0.057478
0.850467,24.728,675,3116,3.43389,0.147619,105277.05,-0.0685184
0.651316,41.425,372,1714,0,0.136054,80415.612,0.327079
0.26,10.7735,330,2278,0,0.0650407,77328.9,0.184315
1,31.5557,462,864,0,0.143939,40183.6974,0.153836
0.181818,15.1172,332,2465,12.6572,0.305882,58483.46,0.251981
1,53.8213,370,2911,5.73686,0.156682,80348.83,0.353919
0.30303,11.3366,404,3046,13.5916,0.594444,61290.84,0.247887
